"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.05.2020","36.183,90","35.850,21","37.178,57","35.850,21","","0,93%"
"07.05.2020","35.850,21","34.158,89","36.272,90","34.041,45","","4,95%"
"06.05.2020","34.158,89","33.546,52","34.523,63","32.836,44","","1,83%"
"05.05.2020","33.546,52","32.387,28","33.606,42","32.387,28","","3,58%"
"04.05.2020","32.387,28","32.742,84","32.742,84","31.215,73","","-1,09%"
"30.04.2020","32.742,84","33.185,05","33.667,07","32.322,30","","-1,33%"
"29.04.2020","33.185,05","33.064,84","33.977,20","32.362,86","","0,36%"
"28.04.2020","33.064,84","29.986,23","33.093,63","29.986,23","","10,27%"
"27.04.2020","29.986,23","29.258,10","30.058,96","28.973,67","","2,49%"
"24.04.2020","29.258,10","30.378,94","30.378,94","28.406,01","","-3,69%"
"23.04.2020","30.378,94","30.554,88","30.951,79","30.122,03","","-0,58%"
"22.04.2020","30.554,88","30.237,08","30.935,37","30.237,08","","1,05%"
"21.04.2020","30.237,08","30.535,73","30.585,32","30.098,70","","-0,98%"
"20.04.2020","30.535,73","29.883,27","30.662,46","29.712,11","","2,18%"
"17.04.2020","29.883,27","30.077,72","31.012,04","29.557,43","","-0,65%"
"16.04.2020","30.077,72","32.070,67","32.070,67","29.600,47","","-6,21%"
"15.04.2020","32.070,67","30.781,55","32.110,58","29.419,97","","4,19%"
"14.04.2020","30.781,55","28.880,64","31.110,49","28.880,64","","6,58%"
"13.04.2020","28.880,64","28.017,59","28.903,00","27.318,15","","3,08%"
"08.04.2020","28.017,59","26.696,10","28.071,95","26.696,10","","4,95%"
"07.04.2020","26.696,10","26.922,59","27.969,41","26.545,84","","-0,84%"
"06.04.2020","26.922,59","26.505,41","27.493,22","26.335,15","","1,57%"
"03.04.2020","26.505,41","26.003,28","26.566,15","25.684,47","","1,93%"
"02.04.2020","26.003,28","25.331,30","26.082,38","25.200,66","","2,68%"
"01.04.2020","25.324,28","24.384,24","25.384,04","24.384,24","","3,86%"
"30.03.2020","24.384,24","24.058,60","24.454,72","23.590,53","","1,35%"
"27.03.2020","24.058,60","25.483,94","25.483,94","24.038,86","","-5,59%"
"26.03.2020","25.483,94","26.338,03","27.769,18","25.322,32","","-3,24%"
"25.03.2020","26.338,03","23.890,35","26.591,59","23.890,35","","10,25%"
"20.03.2020","23.890,35","22.666,11","25.193,62","22.666,11","","5,45%"
"19.03.2020","22.656,43","22.087,13","23.469,56","22.087,13","","2,58%"
"18.03.2020","22.087,13","25.823,47","25.823,47","21.738,62","","-14,47%"
"17.03.2020","25.823,47","25.697,51","26.262,52","24.965,08","","0,49%"
"16.03.2020","25.697,51","28.447,97","28.447,97","25.400,37","","-9,67%"
"13.03.2020","28.447,97","28.351,89","29.876,00","27.779,58","","0,34%"
"12.03.2020","28.351,89","31.419,60","31.419,60","28.113,43","","-9,76%"
"11.03.2020","31.419,60","32.832,26","32.832,26","30.914,74","","-4,30%"
"10.03.2020","32.832,26","30.379,90","33.077,35","30.379,90","","8,07%"
"09.03.2020","30.379,90","35.222,43","35.222,43","30.241,54","","-13,75%"
"06.03.2020","35.222,43","36.772,20","36.772,20","35.204,34","","-4,21%"
"05.03.2020","36.772,20","37.243,36","37.277,35","36.465,73","","-1,27%"
"04.03.2020","37.243,36","35.999,22","37.301,03","35.999,22","","3,46%"
"03.03.2020","35.999,22","36.253,25","37.513,90","35.859,95","","-0,70%"
"02.03.2020","36.253,25","34.973,18","36.489,05","34.963,65","","3,66%"
"28.02.2020","34.973,18","35.387,05","35.387,05","34.051,73","","-1,17%"
"27.02.2020","35.387,05","36.422,24","36.422,24","34.785,42","","-2,84%"
"26.02.2020","36.422,24","38.602,48","38.602,48","36.061,98","","-5,65%"
"21.02.2020","38.602,48","38.961,41","39.418,07","38.403,20","","-0,92%"
